RET_RR,RET_CG,RET_DCG,RET_NDCG,A_BL_BL,A_BL_PR,A_BL_BREV,A_BL_LR,A_BL_LEN,A_BL_REF_LEN,A_RG1,A_RG2,A_RGL,A_RGL_SUM,A_BERT_RAG_PR,A_BERT_RAG_RC,A_BERT_RAG_F1,A_BERT_PR,A_BERT_RC,A_BERT_F1,A_AR_PR,A_AR_RC,A_AR_F1,RET_RC_1,RET_PR_1,RET_F1_1,RET_AP_1
0.0,0,0.0,0.0,0.0,0.014652410031328021,1.0,22.833333333333332,137,6,0.06250000000000001,0.031746031746031744,0.06250000000000001,0.06250000000000001,0.7948036789894104,0.8763273358345032,0.8335769772529602,0.7698443531990051,0.8314381241798401,0.7994566559791565,0.8786222338676453,0.8823168873786926,0.8803564310073853,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.013552894698336829,1.0,11.277777777777779,203,18,0.10628019323671498,0.029268292682926828,0.10628019323671498,0.09661835748792269,0.8291466236114502,0.8894129991531372,0.8582230806350708,0.8261250257492065,0.8863961696624756,0.8551999926567078,0.8888621032238007,0.8867239952087402,0.8874829113483429,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.003472222222222222,1.0,18.0,72,4,0.0,0.0,0.0,0.0,0.8015737533569336,0.8535341024398804,0.8267382979393005,0.8030012249946594,0.8686391115188599,0.8345314860343933,0.9469790458679199,0.8814338445663452,0.9130187332630157,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.043109069239495715,0.043297535593179566,1.0,19.071428571428573,267,14,0.07843137254901959,0.07114624505928854,0.07843137254901959,0.07843137254901959,0.786419153213501,0.9298506379127502,0.8521415591239929,0.8058273792266846,0.8255532383918762,0.8155710697174072,0.9461537599563599,0.9579682052135468,0.9519844949245453,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.03886658608504441,0.0405885227051121,1.0,9.933333333333334,149,15,0.11188811188811189,0.0851063829787234,0.11188811188811189,0.11188811188811189,0.8265901207923889,0.872281551361084,0.8488214612007141,0.848120927810669,0.8919413089752197,0.8694793581962585,0.8840895593166351,0.9076124131679535,0.8956761360168457,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.003125,1.0,32.0,160,5,0.02649006622516556,0.0,0.02649006622516556,0.02649006622516556,0.7824466228485107,0.8101335763931274,0.7960494160652161,0.7723978161811829,0.8134709596633911,0.7924025058746338,0.8519740402698517,0.9102343916893005,0.8801401555538177,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0038461538461538464,1.0,21.666666666666668,65,3,0.0,0.0,0.0,0.0,0.7826243042945862,0.8834434747695923,0.8299834132194519,0.7882392406463623,0.894228458404541,0.8378953337669373,0.8365533351898193,0.8886103332042694,0.8617702424526215,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.03129460651063245,0.042065104038967224,1.0,6.62962962962963,179,27,0.15300546448087432,0.07734806629834254,0.13114754098360656,0.15300546448087432,0.8369788527488708,0.8878521919250488,0.8616652488708496,0.8143373727798462,0.8878556489944458,0.8495088815689087,0.8710202574729919,0.9275318682193756,0.8983874917030334,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.22645689571208186,0.2303014164897449,1.0,2.75,99,36,0.4761904761904761,0.3709677419354839,0.4444444444444444,0.4444444444444444,0.8688763976097107,0.9372052550315857,0.9017482399940491,0.8393115997314453,0.9019155502319336,0.8694881200790405,0.9138077199459076,0.9236402213573456,0.9186524748802185,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0010416666666666667,1.0,120.0,240,2,0.0,0.0,0.0,0.0,0.73918616771698,0.9216368198394775,0.8203898668289185,0.7800562381744385,0.9217472076416016,0.8450031876564026,0.9783592820167542,0.9667203724384308,0.9724681377410889,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.06630047692103945,0.07197101761981545,1.0,6.645161290322581,206,31,0.20289855072463767,0.14634146341463414,0.1642512077294686,0.19323671497584538,0.8357677459716797,0.912541389465332,0.872468888759613,0.8313229084014893,0.8989468812942505,0.8638134002685547,0.898346483707428,0.868969738483429,0.8834137320518494,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.06561923061700399,0.09886132997747893,1.0,2.466666666666667,74,30,0.33333333333333326,0.19148936170212766,0.25,0.25,0.8476205468177795,0.8714160323143005,0.8593536019325256,0.8431341052055359,0.8716716766357422,0.8571653962135315,0.9436339437961578,0.8911803662776947,0.9165635108947754,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.050191369150077964,1.0,6.388888888888889,115,18,0.19672131147540983,0.1,0.18032786885245902,0.18032786885245902,0.8270292282104492,0.900033175945282,0.8619882464408875,0.8134876489639282,0.8837910890579224,0.847183346748352,0.9264460206031799,0.941300243139267,0.9337753653526306,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.034519363141166215,0.04218593113492574,1.0,8.764705882352942,149,17,0.13986013986013984,0.09929078014184398,0.12587412587412586,0.13986013986013984,0.8149667978286743,0.8854654431343079,0.8487546443939209,0.8499091863632202,0.9220737814903259,0.884522020816803,0.958091139793396,0.9586874544620514,0.9583891332149506,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.15009457901233048,0.15997424641316105,1.0,3.5,98,28,0.33644859813084116,0.19047619047619047,0.28037383177570097,0.28037383177570097,0.8532980680465698,0.9360344409942627,0.8927534222602844,0.8294715881347656,0.8601515293121338,0.8445329666137695,0.9394173622131348,0.9322483539581299,0.9358033537864685,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.03795816457830416,1.0,4.76,119,25,0.17322834645669294,0.048,0.09448818897637795,0.09448818897637795,0.8367351293563843,0.870740532875061,0.8533991575241089,0.8146165609359741,0.8710277080535889,0.8418782353401184,0.8613840937614441,0.8964951038360596,0.8783611953258514,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.08362068965517241,1.0,1.0,30,30,0.25,0.03703703703703704,0.2142857142857143,0.2142857142857143,0.8170164823532104,0.8455731868743896,0.8310495615005493,0.8084993362426758,0.841222882270813,0.8245365619659424,0.9737798571586609,0.9711131453514099,0.9724438786506653,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.20760470031302655,0.23621001031991742,1.0,2.0,20,10,0.6153846153846153,0.4166666666666667,0.46153846153846156,0.46153846153846156,0.8600054979324341,0.9185413122177124,0.8883100748062134,0.8323132991790771,0.8588135838508606,0.8453558683395386,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.3042164950089497,0.316475482017056,1.0,1.8823529411764706,32,17,0.5714285714285714,0.45,0.5714285714285714,0.5714285714285714,0.863598108291626,0.9495675563812256,0.9045447707176208,0.8574911952018738,0.9327054023742676,0.8935182690620422,0.9216203689575195,0.8331527709960938,0.8750312924385071,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.06244906872927618,0.06522420549046055,1.0,9.25,74,8,0.19444444444444445,0.17142857142857143,0.19444444444444445,0.19444444444444445,0.826280415058136,0.9347660541534424,0.8771817088127136,0.8249720335006714,0.9482739567756653,0.8823361396789551,0.927591860294342,0.9173387289047241,0.92240309715271,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.045701988502610716,0.06843418094038393,1.0,3.5,70,20,0.27499999999999997,0.12820512820512822,0.15000000000000002,0.15000000000000002,0.8260903358459473,0.8924803733825684,0.8580029606819153,0.855929434299469,0.9026838541030884,0.8786851167678833,0.9536177217960358,0.9492346942424774,0.9514155685901642,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.10342224692044086,1.0,3.588235294117647,61,17,0.3582089552238806,0.18461538461538463,0.26865671641791045,0.26865671641791045,0.8509548902511597,0.9168301224708557,0.8826650381088257,0.8452377319335938,0.9326289892196655,0.8867854475975037,0.9134698510169983,0.9089924395084381,0.9108210206031799,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.01056338028169014,1.0,7.1,142,20,0.10666666666666667,0.02702702702702703,0.09333333333333334,0.10666666666666667,0.8149729371070862,0.8751397132873535,0.843985378742218,0.8207194805145264,0.8733658790588379,0.8462246656417847,0.9054694771766663,0.9151864349842072,0.9103000164031982,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.01959533576413553,0.03215534728817462,1.0,5.379310344827586,156,29,0.14634146341463417,0.04938271604938271,0.1219512195121951,0.1219512195121951,0.8106769323348999,0.8723729848861694,0.840394139289856,0.8416261672973633,0.9015291333198547,0.8705483675003052,0.9361104965209961,0.9142289459705353,0.9250376522541046,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.044695837493506994,0.053457081408330526,1.0,6.967741935483871,216,31,0.18410041841004185,0.10126582278481013,0.14225941422594143,0.1673640167364017,0.8363727331161499,0.8907839059829712,0.8627212643623352,0.8725179433822632,0.9101461172103882,0.8909348845481873,0.9258267879486084,0.9267410337924957,0.9262311458587646,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.052738113881610184,0.06553548848467847,1.0,6.25,100,16,0.2363636363636364,0.14814814814814814,0.2,0.2,0.8520171046257019,0.9271537065505981,0.8879988193511963,0.8490054607391357,0.9095776081085205,0.8782483339309692,0.9262415766716003,0.934269905090332,0.9302336275577545,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.02926983079948742,0.03526250871926278,1.0,11.318181818181818,249,22,0.13333333333333333,0.09243697478991594,0.10833333333333332,0.11666666666666667,0.822823166847229,0.9102675914764404,0.8643393516540527,0.8213050365447998,0.9170827269554138,0.8665553331375122,0.9297688603401184,0.9347263872623444,0.9322017133235931,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.01076585936219968,1.0,35.0,140,4,0.050420168067226885,0.03418803418803419,0.050420168067226885,0.050420168067226885,0.7761119604110718,0.8969131708145142,0.8321513533592224,0.7901828289031982,0.8586655259132385,0.8230020403862,0.9072030186653137,0.9060047268867493,0.9063934981822968,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.07437028802855891,0.07929098792232164,1.0,5.666666666666667,102,18,0.20370370370370372,0.1509433962264151,0.18518518518518517,0.18518518518518517,0.8415485620498657,0.9109402298927307,0.8748705387115479,0.8295340538024902,0.9047673344612122,0.8655189275741577,0.8758547306060791,0.9024393558502197,0.8889177143573761,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.05367662528929097,1.0,2.8,98,35,0.2393162393162393,0.05217391304347826,0.17094017094017094,0.17094017094017094,0.832402229309082,0.8696119785308838,0.8506003618240356,0.8463250994682312,0.8953753709793091,0.8701595664024353,0.9486612379550934,0.9210771918296814,0.9342784583568573,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.01588888888888889,1.0,7.0,126,18,0.09375,0.015873015873015872,0.078125,0.078125,0.8099340200424194,0.8631688356399536,0.835704505443573,0.8031026721000671,0.8458225727081299,0.8239092230796814,0.9006770253181458,0.9211205542087555,0.9107832312583923,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.04408931366378154,0.054814970997823,1.0,7.173913043478261,165,23,0.18390804597701152,0.10465116279069768,0.13793103448275862,0.13793103448275862,0.8307070136070251,0.910204291343689,0.8686406016349792,0.8174460530281067,0.878925621509552,0.8470717668533325,0.9098828732967377,0.9163321256637573,0.9130859673023224,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.01950354609929078,1.0,6.130434782608695,141,23,0.11842105263157895,0.0,0.06578947368421052,0.06578947368421052,0.816225528717041,0.8783054351806641,0.8461283445358276,0.8057460784912109,0.880062460899353,0.8412662148475647,0.8657928109169006,0.9179232120513916,0.8909806311130524,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.015625,1.0,6.4,128,20,0.12307692307692308,0.0,0.1076923076923077,0.1076923076923077,0.823258638381958,0.8675072193145752,0.8448038697242737,0.8085966110229492,0.8643256425857544,0.8355329036712646,0.8710362017154694,0.9164184331893921,0.8931410014629364,0.0,0.0,0.0,0.0
