RET_RR,RET_CG,RET_DCG,RET_NDCG,A_BL_BL,A_BL_PR,A_BL_BREV,A_BL_LR,A_BL_LEN,A_BL_REF_LEN,A_RG1,A_RG2,A_RGL,A_RGL_SUM,A_BERT_RAG_PR,A_BERT_RAG_RC,A_BERT_RAG_F1,A_BERT_PR,A_BERT_RC,A_BERT_F1,A_AR_PR,A_AR_RC,A_AR_F1,RET_RC_1,RET_RC_2,RET_RC_3,RET_RC_4,RET_RC_5,RET_PR_1,RET_PR_2,RET_PR_3,RET_PR_4,RET_PR_5,RET_F1_1,RET_F1_2,RET_F1_3,RET_F1_4,RET_F1_5,RET_AP_1,RET_AP_2,RET_AP_3,RET_AP_4,RET_AP_5
0.0,0,0.0,0.0,0.0,0.009436238347889337,1.0,39.833333333333336,239,6,0.050761421319796954,0.041025641025641026,0.050761421319796954,0.050761421319796954,0.7712273597717285,0.864840030670166,0.8153555393218994,0.7871484160423279,0.8287032842636108,0.8073915243148804,0.898834228515625,0.8917452991008759,0.8952594697475433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.02116556758057061,1.0,11.833333333333334,213,18,0.1137440758293839,0.05741626794258373,0.0947867298578199,0.0947867298578199,0.8161829710006714,0.8794538974761963,0.846638023853302,0.8431782722473145,0.9006396532058716,0.8709622025489807,0.9354454576969147,0.9456335604190826,0.9404939711093903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.008396264617660498,1.0,52.25,209,4,0.03333333333333333,0.02247191011235955,0.03333333333333333,0.03333333333333333,0.7632425427436829,0.8810339570045471,0.817919135093689,0.7910267114639282,0.8686029314994812,0.8280017971992493,0.8943383097648621,0.8795470595359802,0.8868291676044464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.003061224489795918,1.0,17.5,245,14,0.02459016393442623,0.0,0.02459016393442623,0.02459016393442623,0.7819496393203735,0.8111962080001831,0.79630446434021,0.7868403196334839,0.8207350969314575,0.8034303784370422,0.922264039516449,0.9165911078453064,0.9193632006645203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.02309790725828218,0.02697341463815748,1.0,11.8,177,15,0.09944751381215469,0.0670391061452514,0.09944751381215469,0.09944751381215469,0.8032318949699402,0.8824408650398254,0.8409754037857056,0.8112577795982361,0.8758224248886108,0.8423047065734863,0.9312228560447693,0.9278849959373474,0.9295347630977631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.005136986301369863,1.0,29.2,146,5,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903,0.7688427567481995,0.8146299123764038,0.7910743355751038,0.7826657891273499,0.8084354400634766,0.795341968536377,0.9556308388710022,0.9427431225776672,0.9491079151630402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.003424657534246575,1.0,48.666666666666664,146,3,0.03125,0.015873015873015872,0.03125,0.03125,0.764521062374115,0.8891563415527344,0.8221418857574463,0.7844753861427307,0.8804892301559448,0.8297138214111328,0.8805740773677826,0.9020093083381653,0.8909787833690643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.10606245689132464,0.10623413131260664,1.0,8.333333333333334,225,27,0.21596244131455397,0.2085308056872038,0.21596244131455397,0.21596244131455397,0.8343873023986816,0.946698784828186,0.8870019316673279,0.8379807472229004,0.8918044567108154,0.8640552163124084,0.9172821938991547,0.938851535320282,0.9277966916561127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.14482612492185384,0.1465795694905134,1.0,4.916666666666667,177,36,0.32989690721649484,0.28125,0.3195876288659794,0.3195876288659794,0.8546679019927979,0.9341669082641602,0.8926509022712708,0.8647681474685669,0.9364926218986511,0.8992024064064026,0.8980766534805298,0.9023250341415405,0.9001644253730774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0008503401360544217,1.0,147.0,294,2,0.0,0.0,0.0,0.0,0.7315982580184937,0.9083186388015747,0.8104365468025208,0.7853353023529053,0.9162462949752808,0.8457549810409546,0.9076208770275116,0.9183072745800018,0.9129114151000977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
